Prise en compte;Code INSEE Commune Nouvelle;Nom Commune Nouvelle Siège;Code INSEE Commune Déléguée (non actif);Nom Commune Déléguée;Adresse 2016 - Code INSEE;Adresse 2016 - L6 Code Postal;Adresse 2016 - L6 Libellé Acheminement;Adresse 2016 - Ligne 5 Commune déléguée;Adresse 2016 - Code INSEE associé à la L5;Adresse 2015 - Code INSEE;Adresse 2015 - L6 Code Postal;Adresse 2015 - Libellé Acheminement;Adresse 2015 - L5;Adresse 2015 - Code INSEE Associé à la L5
DÉCEMBRE 2016;61474;Gouffern en Auge;61449;Saint-Pierre-la-Rivière;;;GOUFFERN EN AUGE;ST PIERRE LA RIVIERE;;;;ST PIERRE LA RIVIERE;;
DÉCEMBRE 2016;61474;Gouffern en Auge;61057;Le Bourg-Saint-Léonard;;;GOUFFERN EN AUGE;LE BOURG ST LEONARD;;;;LE BOURG ST LEONARD;;
DÉCEMBRE 2016;61339;Putanges-le-Lac;61364;Saint-Aubert-sur-Orne;;;PUTANGES LE LAC;ST AUBERT SUR ORNE;;;;ST AUBERT SUR ORNE;;
DÉCEMBRE 2016;61474;Gouffern en Auge;61019;Avernes-sous-Exmes;;;GOUFFERN EN AUGE;AVERNES SOUS EXMES;;;;AVERNES SOUS EXMES;;
FÉVRIER 2016;61491;Tourouvre au Perche;61226;Lignerolles;;;TOUROUVRE AU PERCHE;LIGNEROLLES;;;;LIGNEROLLES;;
DÉCEMBRE 2016;61474;Gouffern en Auge;61083;Chambois;;;GOUFFERN EN AUGE;CHAMBOIS;;;;CHAMBOIS;;
FÉVRIER 2016;63244;Chambaron-sur-Morge;63068;Cellule;;;CHAMBARON SUR MORGE;CELLULE;;;;CELLULE;;
FÉVRIER 2016;62691;Saint-Augustin;62691;Rebecques;;;ST AUGUSTIN;REBECQUES;;;;REBECQUES;;
SEPTEMBRE 2016;62471;Bellinghem;62471;Inghem;;;BELLINGHEM;INGHEM;;;;INGHEM;;
FÉVRIER 2016;73006;Aime-la-Plagne;73006;Aime;;;AIME LA PLAGNE;LONGEFOY;;;;AIME;LONGEFOY;
DÉCEMBRE 2016;74010;Annecy;74268;Seynod;;;ANNECY;VIEUGY;;;;SEYNOD;VIEUGY;
DÉCEMBRE 2016;73150;Plagne Tarentaise (La);73150;Mâcot-la-Plagne;;;LA PLAGNE TARENTAISE;MACOT LA PLAGNE;;;;MACOT LA PLAGNE;;
OCTOBRE 2017;72308;Saint-Paterne - Le Chevain;72308;Saint-Paterne;;;ST PARTERNE LE CHEVAIN;ST PATERNE;;;;ST PATERNE;;
FÉVRIER 2016;74112;Epagny Metz-Tessy;74181;Metz-Tessy;;;EPAGNY METZ TESSY;METZ TESSY;;;;METZ TESSY;;
DÉCEMBRE 2016;73290;Val-Cenis;73290;Termignon;;;VAL CENIS;TERMIGNON;;;;TERMIGNON;;
DÉCEMBRE 2016;73010;Entrelacs;73062;Cessens;;;ENTRELACS;CESSENS;;;;CESSENS;;
FÉVRIER 2016;73006;Aime-la-Plagne;73006;Aime;;;AIME LA PLAGNE;AIME;;;;AIME;;
DÉCEMBRE 2016;74010;Annecy;74217;Pringy;;;ANNECY;PRINGY;;;;PRINGY;;
OCTOBRE 2017;73227;Courchevel *;73198;La Perrière;;;;;;;;LA PERRIERE;;
FÉVRIER 2016;59588;Téteghem-Coudekerque-Village;59588;Téteghem;;;TETEGHEM COUDEKERQUE VILLAGE;TETEGHEM;;;;TETEGHEM;;
DÉCEMBRE 2016;60196;Drenne (La);60532;Ressons-l'Abbaye;;;LA DRENNE;RESSONS L ABBAYE;;;;RESSONS L ABBAYE;;
FÉVRIER 2016;56144;Évellys;56142;Moustoir-Remungol;;;EVELLYS;MOUSTOIR REMUNGOL;;;;MOUSTOIR REMUNGOL;;
DÉCEMBRE 2016;58204;Vaux d'Amognes;58022;Balleray;;;VAUX D AMOGNES;BALLERAY;;;;BALLERAY;;
JUILLET 2016;57148;Colligny-Maizery;57432;Maizery;;;COLLIGNY MAIZERY;MAIZERY;;;;MAIZERY;;
FÉVRIER 2016;58026;Beaulieu;58167;Michaugues;;;BEAULIEU;MICHAUGUES;;;;MICHAUGUES;;
OCTOBRE 2017;57482;Ogy-Montoy-Flanville;57523;Ogy;;;OGY MONTOY FLANVILLE;OGY;;;;OGY;;
SEPTEMBRE 2016;54099;Val de Briey;54341;Mance;;;VAL DE BRIEY;MANCE;;;;MANCE;;
FÉVRIER 2016;57021;Ancy-Dornot;57184;Dornot;;;ANCY DORNOT;DORNOT;;;;DORNOT;;
FÉVRIER 2016;60088;Bornel;60088;Bornel;;;BORNEL;;;;;BORNEL;;
DÉCEMBRE 2016;61050;Cour-Maugis sur Huisne;61050;Boissy-Maugis;;;COUR MAUGIS SUR HUISNE;BOISSY MAUGIS;;;;BOISSY MAUGIS;;
DÉCEMBRE 2016;61116;Sablons sur Huisne;61116;Condé-sur-Huisne;;;SABLONS SUR HUISNE;CONDE SUR HUISNE;;;;CONDE SUR HUISNE;;
DÉCEMBRE 2016;61339;Putanges-le-Lac;61339;Putanges-Pont-Écrepin;;;PUTANGES LE LAC;PUTANGES PONT ECREPIN;;;;PUTANGES PONT ECREPIN;;
FÉVRIER 2016;61167;Ferté-en-Ouche (La);61506;Villers-en-Ouche;;;LA FERTE EN OUCHE;VILLERS EN OUCHE;;;;VILLERS EN OUCHE;;
FÉVRIER 2016;61230;Longny les Villages;61250;Marchainville;;;LONGNY LES VILLAGES;MARCHAINVILLE;;;;MARCHAINVILLE;;
FÉVRIER 2016;61324;Passais Villages;61455;Saint-Siméon;;;PASSAIS VILLAGES;ST SIMEON;;;;ST SIMEON;;
DÉCEMBRE 2016;61339;Putanges-le-Lac;61270;Ménil-Jean;;;PUTANGES LE LAC;MENIL JEAN;;;;MENIL JEAN;;
FÉVRIER 2016;61211;Juvigny Val d'Andaine;61235;Loré;;;JUVIGNY VAL D ANDAINE;LORE;;;;LORE;;
DÉCEMBRE 2016;61341;Écouves;61509;Vingt-Hanaps;;;ECOUVES;VINGT HANAPS;;;;VINGT HANAPS;;
DÉCEMBRE 2016;61341;Écouves;61175;Forges;;;ECOUVES;FORGES;;;;FORGES;;
FÉVRIER 2016;61007;Athis-Val de Rouvre;61489;Tourailles (Les);;;ATHIS VAL DE ROUVRE;LES TOURAILLES;;;;LES TOURAILLES;;
FÉVRIER 2016;61007;Athis-Val de Rouvre;61007;Athis-de-l'Orne;;;ATHIS VAL DE ROUVRE;ATHIS DE L ORNE;;;;ATHIS DE L ORNE;;
DÉCEMBRE 2016;56061;Gacilly (La);56038;La Chapelle-Gaceline;;;LA GACILLY;LA CHAPELLE GACELINE;;;;LA CHAPELLE GACELINE;;
FÉVRIER 2016;56197;Val d'Oust;56037;Chapelle-Caro (La);;;VAL D OUST;LA CHAPELLE CARO;;;;LA CHAPELLE CARO;;
DÉCEMBRE 2016;60196;Drenne (La);60196;Le Déluge;;;LA DRENNE;LE DELUGE;;;;LE DELUGE;;
DÉCEMBRE 2016;56033;Carentoir;56183;Quelneuc;;;CARENTOIR;QUELNEUC;;;;QUELNEUC;;
FÉVRIER 2016;56251;Theix-Noyalo;56251;Theix;;;THEIX NOYALO;THEIX;;;;THEIX;;
DÉCEMBRE 2016;56061;Gacilly (La);56061;La Gacilly;;;LA GACILLY;;;;;LA GACILLY;;
DÉCEMBRE 2016;56033;Carentoir;56033;Carentoir;;;CARENTOIR;;;;;CARENTOIR;;
OCTOBRE 2017;60029;Auneuil;60029;Auneuil;;;AUNEUIL;;;;;AUNEUIL;;
DÉCEMBRE 2016;61484;Val-au-Perche;61359;Saint-Agnan-sur-Erre;;;VAL AU PERCHE;ST AGNAN SUR ERRE;;;;ST AGNAN SUR ERRE;;
DÉCEMBRE 2016;61463;Monts d'Andaine (Les);61463;Sauvagère (La);;;LES MONTS D ANDAINE;LA SAUVAGERE;;;;LA SAUVAGERE;;
FÉVRIER 2016;62757;Saint-Martin-lez-Tatinghem;62807;Tatinghem;;;ST MARTIN LEZ TATINGHEM;TATINGHEM;;;;TATINGHEM;;
FÉVRIER 2016;61491;Tourouvre au Perche;61045;Bivilliers;;;TOUROUVRE AU PERCHE;BIVILLIERS;;;;BIVILLIERS;;
DÉCEMBRE 2016;61474;Gouffern en Auge;61110;La Cochère;;;GOUFFERN EN AUGE;LA COCHERE;;;;LA COCHERE;;
FÉVRIER 2016;61491;Tourouvre au Perche;61065;Bubertré;;;TOUROUVRE AU PERCHE;BUBERTRE;;;;BUBERTRE;;
FÉVRIER 2016;61491;Tourouvre au Perche;61491;Tourouvre;;;TOUROUVRE AU PERCHE;TOUROUVRE;;;;TOUROUVRE;;
DÉCEMBRE 2016;61460;Sap-en-Auge;61320;Orville;;;SAP EN AUGE;ORVILLE;;;;ORVILLE;;
DÉCEMBRE 2016;61474;Gouffern en Auge;61161;Fel;;;GOUFFERN EN AUGE;FEL;;;;FEL;;
DÉCEMBRE 2016;61460;Sap-en-Auge;61460;Sap (Le);;;SAP EN AUGE;LE SAP;;;;LE SAP;;
DÉCEMBRE 2016;81062;Fontrieu;81062;Castelnau-de-Brassac;;;FONTRIEU;CASTELNAU DE BRASSAC;;;;CASTELNAU DE BRASSAC;;
DÉCEMBRE 2016;80621;Hypercourt;80447;Hyencourt-le-Grand;;;HYPERCOURT;HYENCOURT LE GRAND;;;;HYENCOURT LE GRAND;;
DÉCEMBRE 2016;80295;Étinehem-Méricourt;80295;Étinehem;;;ETINEHEM MERICOURT;ETINEHEM;;;;ETINEHEM;;
DÉCEMBRE 2016;79185;Mougon-Thorigné;79327;Thorigné;;;MOUGON THORIGNE;THORIGNE;;;;THORIGNE;;
DÉCEMBRE 2016;79185;Mougon-Thorigné;79185;Mougon;;;MOUGON THORIGNE;MOUGON;;;;MOUGON;;
DÉCEMBRE 2016;73257;Belleville (Les);73257;Saint-Martin-de-Belleville;;;LES BELLEVILLE;LES MENUIRES;;;;ST MARTIN DE BELLEVILLE;LES MENUIRES;
DÉCEMBRE 2016;74010;Annecy;74217;Pringy;;;ANNECY;FERRIERES;;;;PRINGY;FERRIERES;
FÉVRIER 2016;72363;Tuffé Val de la Chéronne;72288;Saint-Hilaire-le-Lierru;;;TUFFE VAL DE LA CHERONNE;ST HILAIRE LE LIERRU;;;;ST HILAIRE LE LIERRU;;
FÉVRIER 2016;73284;Salins-Fontaine;73115;Fontaine-le-Puits;;;SALINS FONTAINE;FONTAINE LE PUITS;;;;FONTAINE LE PUITS;;
OCTOBRE 2018;72176;Le Lude;72117;Dissé-sous-le-lude;;;LE LUDE;DISSE SOUS LE LUDE;;;;DISSE SOUS LE LUDE;;
FÉVRIER 2016;72363;Tuffé Val de la Chéronne;72363;Tuffé;;;TUFFE VAL DE LA CHERONNE;TUFFE;;;;TUFFE;;
FÉVRIER 2016;74123;Faverges-Seythenex;74270;Seythenex;;;FAVERGES SEYTHENEX;SEYTHENEX;;;;SEYTHENEX;;
FÉVRIER 2016;73006;Aime-la-Plagne;73126;Granier;;;AIME LA PLAGNE;GRANIER;;;;GRANIER;;
DÉCEMBRE 2016;74010;Annecy;74268;Seynod;;;ANNECY;SEYNOD;;;;SEYNOD;;
OCTOBRE 2017;73235;Saint-François-Longchamp;73235;Saint-François-Longchamp;;;ST FRANCOIS LONGCHAMP;;;;;ST FRANCOIS LONGCHAMP;;
OCTOBRE 2017;77316;Moret-Loing-et-Orvanne;77316;Moret-Loing-et-Orvanne;;;MORET LOING ET ORVANNE;EPISY;;;;MORET LOING ET ORVANNE;EPISY;
DÉCEMBRE 2017;79078;Plaine-d'Argenson;79078;Prissé-la-Charrière;;;PLAINE D ARGENSON;PRISSE;;;;PRISSE LA CHARRIERE;PRISSE;
DÉCEMBRE 2016;79013;Argentonnay;79013;Argenton-les-Vallées;;;ARGENTONNAY;BOESSE;;;;ARGENTON LES VALLEES;BOESSE;
OCTOBRE 2017;77316;Moret-Loing-et-Orvanne;77491;Veneux-les-Sablons;;;MORET LOING ET ORVANNE;VENEUX LES SABLONS;;;;VENEUX LES SABLONS;;
DÉCEMBRE 2016;79013;Argentonnay;79013;Argenton-les-Vallées;;;ARGENTONNAY;ARGENTON LES VALLEES;;;;ARGENTON LES VALLEES;;
DÉCEMBRE 2016;79063;Val en Vignes;79044;Bouillé-Saint-Paul;;;VAL EN VIGNES;BOUILLE ST PAUL;;;;BOUILLE ST PAUL;;
DÉCEMBRE 2016;76618;Petit-Caux;76337;Guilmécourt;;;PETIT CAUX;GUILMECOURT;;;;GUILMECOURT;;
DÉCEMBRE 2016;79136;Alloinay;79136;Gournay-Loizé;;;ALLOINAY;GOURNAY LOIZE;;;;GOURNAY LOIZE;;
DÉCEMBRE 2016;76618;Petit-Caux;76376;Intraville;;;PETIT CAUX;INTRAVILLE;;;;INTRAVILLE;;
DÉCEMBRE 2016;79063;Val en Vignes;79063;Cersay;;;VAL EN VIGNES;CERSAY;;;;CERSAY;;
MAI 2018;61153;Écouché-les-Vallées;61153;Écouché-les-Vallées;;;ECOUCHE LES VALLEES;ST OUEN SUR MAIRE;;;;ECOUCHE LES VALLEES;ST OUEN SUR MAIRE;
MAI 2018;61153;Écouché-les-Vallées;61153;Écouché-les-Vallées;;;ECOUCHE LES VALLEES;SERANS;;;;ECOUCHE LES VALLEES;SERANS;
MAI 2018;61153;Écouché-les-Vallées;61153;Écouché-les-Vallées;;;ECOUCHE LES VALLEES;LOUCE;;;;ECOUCHE LES VALLEES;LOUCE;
DÉCEMBRE 2016;61050;Cour-Maugis sur Huisne;61430;Saint-Maurice-sur-Huisne;;;COUR MAUGIS SUR HUISNE;ST MAURICE SUR HUISNE;;;;ST MAURICE SUR HUISNE;;
FÉVRIER 2016;61167;Ferté-en-Ouche (La);61167;Ferté-Frênel (La);;;LA FERTE EN OUCHE;LA FERTE FRENEL;;;;LA FERTE FRENEL;;
FÉVRIER 2016;61081;Chailloué;61306;Neuville-près-Sées;;;CHAILLOUE;NEUVILLE PRES SEES;;;;NEUVILLE PRES SEES;;
FÉVRIER 2016;61167;Ferté-en-Ouche (La);61184;Gauville;;;LA FERTE EN OUCHE;GAUVILLE;;;;GAUVILLE;;
FÉVRIER 2016;61153;Écouché-les-Vallées *;61470;Serans;;;ECOUCHE LES VALLEES;SERANS;;;;SERANS;;
FÉVRIER 2016;61153;Écouché-les-Vallées *;61236;Loucé;;;ECOUCHE LES VALLEES;LOUCE;;;;LOUCE;;
DÉCEMBRE 2016;61096;Rives d'Andaine;61200;Haleine;;;RIVES D ANDAINE;HALEINE;;;;HALEINE;;
FÉVRIER 2016;85213;Rives de l'Yon;85043;Chaillé-sous-les-Ormeaux;;;RIVES DE L YON;CHAILLE SOUS LES ORMEAUX;;;;CHAILLE SOUS LES ORMEAUX;;
FÉVRIER 2016;85213;Rives de l'Yon;85213;Saint-Florent-des-Bois;;;RIVES DE L YON;ST FLORENT DES BOIS;;;;ST FLORENT DES BOIS;;
DÉCEMBRE 2016;85084;Essarts en Bocage;85212;Sainte-Florence;;;ESSARTS EN BOCAGE;STE FLORENCE;;;;STE FLORENCE;;
FÉVRIER 2016;85008;Aubigny-Les Clouzeaux;85069;Clouzeaux (Les);;;AUBIGNY LES CLOUZEAUX;LES CLOUZEAUX;;;;LES CLOUZEAUX;;
FÉVRIER 2016;85008;Aubigny-Les Clouzeaux;85008;Aubigny;;;AUBIGNY LES CLOUZEAUX;AUBIGNY;;;;AUBIGNY;;
DÉCEMBRE 2016;85084;Essarts en Bocage;85165;Oie (L');;;ESSARTS EN BOCAGE;L OIE;;;;L OIE;;
FÉVRIER 2016;76289;Saint Martin de l'If;76267;Folletière (La);;;ST MARTIN DE L IF;LA FOLLETIERE;;;;LA FOLLETIERE;;
DÉCEMBRE 2016;76258;Terres-de-Caux;76639;Saint-Pierre-Lavis;;;TERRES DE CAUX;ST PIERRE LAVIS;;;;ST PIERRE LAVIS;;
FÉVRIER 2016;76289;Saint Martin de l'If;76089;Betteville;;;ST MARTIN DE L IF;BETTEVILLE;;;;BETTEVILLE;;
OCTOBRE 2017;76146;Buchy;76248;Estouteville-Écalles;;;BUCHY;ESTOUTEVILLE ECALLES;;;;ESTOUTEVILLE ECALLES;;
FÉVRIER 2016;76289;Saint Martin de l'If;76289;Fréville;;;ST MARTIN DE L IF;FREVILLE;;;;FREVILLE;;
DÉCEMBRE 2016;76618;Petit-Caux;76037;Auquemesnil;;;PETIT CAUX;AUQUEMESNIL;;;;AUQUEMESNIL;;
DÉCEMBRE 2016;74282;Fillière;74204;Les Ollières;;;FILLIERE;LES OLLIERES;;;;LES OLLIERES;;
DÉCEMBRE 2016;76618;Petit-Caux;76301;Glicourt;;;PETIT CAUX;GLICOURT;;;;GLICOURT;;
DÉCEMBRE 2016;74282;Fillière;74022;Aviernoz;;;FILLIERE;AVIERNOZ;;;;AVIERNOZ;;
FÉVRIER 2017;76676;Sigy-en-bray;76676;;;;SIGY EN BRAY;;;;;SIGY EN BRAY;;
OCTOBRE 2017;88029;Vôge-les-Bains (La);88234;Harsault;;;LA VOGE LES BAINS;THUNIMONT;;;;HARSAULT;THUNIMONT;
FÉVRIER 2016;88361;Provenchères-et-Colroy;88112;Colroy-la-Grande;;;PROVENCHERES ET COLROY;COLROY LA GRANDE;;;;COLROY LA GRANDE;;
FÉVRIER 2016;88465;Capavenir Vosges;88465;Thaon-les-Vosges;;;CAPAVENIR VOSGES;THAON LES VOSGES;;;;THAON LES VOSGES;;
OCTOBRE 2017;88029;Vôge-les-Bains (La);88029;Bains-les-Bains;;;LA VOGE LES BAINS;BAINS LES BAINS;;;;BAINS LES BAINS;;
OCTOBRE 2017;88029;Vôge-les-Bains (La);88235;Hautmougey;;;LA VOGE LES BAINS;HAUTMOUGEY;;;;HAUTMOUGEY;;
DÉCEMBRE 2016;86281;Saint Martin la Pallu;86071;Cheneché;;;ST MARTIN LA PALLU;CHENECHE;;;;CHENECHE;;
DÉCEMBRE 2016;86115;Jaunay-Marigny;86146;Marigny-Brizay;;;JAUNAY MARIGNY;MARIGNY BRIZAY;;;;MARIGNY BRIZAY;;
FÉVRIER 2016;86245;Senillé-Saint-Sauveur;86245;Saint-Sauveur;;;SENILLE ST SAUVEUR;ST SAUVEUR;;;;ST SAUVEUR;;
JANVIER 2016;89086;Charny Orée de Puisaye;89097;Chêne-Arnoult;;;CHARNY OREE DE PUISAYE;CHENE ARNOULT;;;;CHENE ARNOULT;;
JANVIER 2016;89086;Charny Orée de Puisaye;89103;Chevillon;;;CHARNY OREE DE PUISAYE;CHEVILLON;;;;CHEVILLON;;
DÉCEMBRE 2016;89405;Hauts de Forterre (Les);89260;Molesmes;;;LES HAUTS DE FORTERRE;MOLESMES;;;;MOLESMES;;
JANVIER 2016;89086;Charny Orée de Puisaye;89294;Perreux;;;CHARNY OREE DE PUISAYE;PERREUX;;;;PERREUX;;
DÉCEMBRE 2016;89130;Deux Rivières;89001;Accolay;;;DEUX RIVIERES;ACCOLAY;;;;ACCOLAY;;
DÉCEMBRE 2016;88475;Tollaincourt;88392;Rocourt;;;TOLLAINCOURT;ROCOURT;;;;ROCOURT;;
DÉCEMBRE 2016;88475;Tollaincourt;88475;Tollaincourt;;;TOLLAINCOURT;;;;;TOLLAINCOURT;;
DÉCEMBRE 2016;14431;Mézidon Vallée d'Auge;14313;Grandchamp-le-Château;14431;14140;MEZIDON VALLEE D AUGE;GRANDCHAMP LE CHÂTEAU;14313;14313;14140;GRANDCHAMP LE CHATEAU;;
DÉCEMBRE 2016;14431;Mézidon Vallée d'Auge;14031;Les Authieux-Papion;14431;14140;MEZIDON VALLEE D AUGE;LES AUTHIEUX PAPION;14031;14031;14140;LES AUTHIEUX PAPION;;
FÉVRIER 2016;14371;Livarot-Pays-d'Auge;14459;Moutiers-Hubert (Les);14371;14140;LIVAROT PAYS D AUGE;LES MOUTIERS HUBERT;14459;14459;14140;LES MOUTIERS HUBERT;;
DÉCEMBRE 2016;14431;Mézidon Vallée d'Auge;14201;Crèvecœur-en-Auge;14431;14340;MEZIDON VALLEE D AUGE;CREVECOEUR EN AUGE;14201;14201;14340;CREVECOEUR EN AUGE;;
FÉVRIER 2016;14371;Livarot-Pays-d'Auge;14420;Mesnil-Germain (Le);14371;14140;LIVAROT PAYS D AUGE;LE MESNIL GERMAIN;14420;14420;14140;LE MESNIL GERMAIN;;
DÉCEMBRE 2016;14475;Val d’Arry;14702;Tournay-sur-Odon;14475;14310;VAL D ARRY;TOURNAY SUR ODON;14702;14702;14310;TOURNAY SUR ODON;;
FÉVRIER 2016;14371;Livarot-Pays-d'Auge;14148;Cerqueux;14371;14290;LIVAROT PAYS D AUGE;CERQUEUX;14148;14148;14290;CERQUEUX;;
OCTOBRE 2017;14654;Saint-Pierre-en-Auge;14099;Bretteville-sur-Dives;14654;14170;ST PIERRE EN AUGE;BRETTEVILLE SUR DIVES;14099;14099;14170;BRETTEVILLE SUR DIVES;;
FÉVRIER 2016;14570;Valorbiquet;14599;Saint-Julien-de-Mailloc;14570;14290;VALORBIQUET;ST JULIEN DE MAILLOC;14599;14599;14290;ST JULIEN DE MAILLOC;;
OCTOBRE 2017;14654;Saint-Pierre-en-Auge;14433;Mittois;14654;14170;ST PIERRE EN AUGE;MITTOIS;14433;14433;14170;MITTOIS;;
OCTOBRE 2017;14654;Saint-Pierre-en-Auge;14081;Boissey;14654;14170;ST PIERRE EN AUGE;BOISSEY;14081;14081;14170;BOISSEY;;
FÉVRIER 2016;14576;Val-de-Vie;14105;Brévière (La);14576;14140;VAL DE VIE;LA BREVIERE;14105;14105;14140;LA BREVIERE;;
FÉVRIER 2016;14579;Seulline *;14188;Coulvain;14579;14310;SEULLINE;COULVAIN;14188;14188;14310;COULVAIN;;
OCTOBRE 2017;14654;Saint-Pierre-en-Auge;14472;L'Oudon;14654;14170;ST PIERRE EN AUGE;MONTPINCON;14447;;;L OUDON;MONTPINCON;
OCTOBRE 2017;14654;Saint-Pierre-en-Auge;14472;L'Oudon;14654;14170;ST PIERRE EN AUGE;LIEURY;14363;;;L OUDON;LIEURY;
OCTOBRE 2017;41142;Valencisse;41142;Valencisse;;;VALENCISSE;MOLINEUF;;;;VALENCISSE;MOLINEUF;
OCTOBRE 2017;41142;Valencisse;41142;Valencisse;;;VALENCISSE;ORCHAISE;;;;VALENCISSE;ORCHAISE;
FÉVRIER 2016;39331;Mignovillard;39161;Communailles-en-Montagne;;;MIGNOVILLARD;COMMUNAILLES EN MONTAGNE;;;;COMMUNAILLES EN MONTAGNE;;
OCTOBRE 2017;41142;Valencisse;41033;Chambon-sur-Cisse;;;VALENCISSE;CHAMBON SUR CISSE;;;;CHAMBON SUR CISSE;;
DÉCEMBRE 2016;41055;Valloire-sur-Cisse;41064;Coulanges;;;VALLOIRE SUR CISSE;COULANGES;;;;COULANGES;;
AVRIL 2016;39378;Trois Châteaux (Les);39135;Chazelles;;;LES TROIS CHATEAUX;CHAZELLES;;;;CHAZELLES;;
DÉCEMBRE 2016;39485;Val Suran;39564;Villechantria;;;VAL SURAN;VILLECHANTRIA;;;;VILLECHANTRIA;;
DÉCEMBRE 2016;39576;Val-Sonnette;39549;Vercia;;;VAL SONNETTE;VERCIA;;;;VERCIA;;
DÉCEMBRE 2016;39485;Val Suran;39069;Bourcia;;;VAL SURAN;BOURCIA;;;;BOURCIA;;
FÉVRIER 2016;39331;Mignovillard;39331;Mignovillard;;;MIGNOVILLARD;;;;;MIGNOVILLARD;;
DÉCEMBRE 2016;46138;Cœur de Causse;46291;Saint-Sauveur-la-Vallée;;;CŒUR DE CAUSSE;ST SAUVEUR LA VALLEE;;;;ST SAUVEUR LA VALLEE;;
FÉVRIER 2016;46201;Montcuq-en-Quercy-Blanc;46326;Valprionde;;;MONTCUQ EN QUERCY BLANC;VALPRIONDE;;;;VALPRIONDE;;
DÉCEMBRE 2016;45191;Malesherbois (Le);45190;Mainvilliers;;;LE MALESHERBOIS;MAINVILLIERS;;;;MAINVILLIERS;;
DÉCEMBRE 2016;48009;Peyre en Aubrac;48060;Fau-de-Peyre;;;PEYRE EN AUBRAC;FAU DE PEYRE;;;;FAU DE PEYRE;;
DÉCEMBRE 2016;45191;Malesherbois (Le);45192;Manchecourt;;;LE MALESHERBOIS;MANCHECOURT;;;;MANCHECOURT;;
FÉVRIER 2016;46201;Montcuq-en-Quercy-Blanc;46201;Montcuq;;;MONTCUQ EN QUERCY BLANC;MONTCUQ;;;;MONTCUQ;;
OCTOBRE 2018;46262;Lendou-en-Quercy;46158;Lascabanes;;;LENDOU EN QUERCY;LASCABANES;;;;LASCABANES;;
FÉVRIER 2016;45129;Douchy-Montcorbon;45211;Montcorbon;;;DOUCHY MONTCORBON;MONTCORBON;;;;MONTCORBON;;
FÉVRIER 2016;48017;Banassac-Canilhac;48017;Banassac;;;BANASSAC CANILHAC;BANASSAC;;;;BANASSAC;;
MARS 2017;38253;Deux-Alpes (Les);38253;Mont-de-Lans;;;LES DEUX ALPES;L ALPE DE MONT DE LANS;;;;MONT DE LANS;L ALPE DE MONT DE LANS;
DÉCEMBRE 2016;38407;Sure en Chartreuse (La);38312;Pommiers-la-Placette;;;LA SURE EN CHARTREUSE;POMMIERS LA PLACETTE;;;;POMMIERS LA PLACETTE;;
DÉCEMBRE 2016;37232;Côteaux-sur-Loire;37120;Ingrandes-de-Touraine;;;COTEAUX SUR LOIRE;INGRANDES DE TOURAINE;;;;INGRANDES DE TOURAINE;;
FÉVRIER 2016;38001;Abrets en Dauphiné (Les);38028;Bâtie-Divisin (La);;;LES ABRETS EN DAUPHINE;LA BATIE DIVISIN;;;;LA BATIE DIVISIN;;
OCTOBRE 2017;37021;Beaumont-Louestault;37021;Beaumont-la-Ronce;;;BEAUMONT LOUESTAULT;BEAUMONT LA RONCE;;;;BEAUMONT LA RONCE;;
DÉCEMBRE 2016;38292;Villages du Lac de Paladru;38292;Paladru;;;VILLAGES DU LAC DE PALADRU;PALADRU;;;;PALADRU;;
FÉVRIER 2016;38225;Autrans-Méaudre en Vercors;38021;Autrans;;;AUTRANS MEAUDRE EN VERCORS;AUTRANS;;;;AUTRANS;;
FÉVRIER 2016;38001;Abrets en Dauphiné (Les);38165;Fitilieu;;;LES ABRETS EN DAUPHINE;FITILIEU;;;;FITILIEU;;
OCTOBRE 2017;37021;Beaumont-Louestault;37135;Louestault;;;BEAUMONT LOUESTAULT;LOUESTAULT;;;;LOUESTAULT;;
DÉCEMBRE 2016;37123;Langeais;37123;Langeais;;;LANGEAIS;;;;;LANGEAIS;;
FÉVRIER 2016;39286;Lavans-lès-Saint-Claude;39286;Lavans-lès-Saint-Claude;;;LAVANS LES ST CLAUDE;LIZON;;;;LAVANS LES ST CLAUDE;LIZON;
DÉCEMBRE 2016;38456;Châtel-en-Trièves;38456;Saint-Sébastien;;;CHATEL EN TRIEVES;ST SEBASTIEN;;;;ST SEBASTIEN;;
DÉCEMBRE 2016;39290;Valzin en Petite Montagne;39506;Savigna;;;VALZIN EN PETITE MONTAGNE;SAVIGNA;;;;SAVIGNA;;
DÉCEMBRE 2016;38456;Châtel-en-Trièves;38125;Cordéac;;;CHATEL EN TRIEVES;CORDEAC;;;;CORDEAC;;
DÉCEMBRE 2016;39130;Nanchez;39130;Chaux-des-Prés;;;NANCHEZ;CHAUX DES PRES;;;;CHAUX DES PRES;;
FÉVRIER 2016;39209;Val d'Epy *;39226;Florentia;;;VAL D EPY;FLORENTIA;;;;FLORENTIA;;
DÉCEMBRE 2016;39177;Hauteroche;39177;Crançot;;;HAUTEROCHE;CRANCOT;;;;CRANCOT;;
DÉCEMBRE 2016;39273;Montlainsia;39195;Dessia;;;MONTLAINSIA;DESSIA;;;;DESSIA;;
