Prise en compte;Code INSEE Commune Nouvelle;Nom Commune Nouvelle Siège;Code INSEE Commune Déléguée (non actif);Nom Commune Déléguée;Adresse 2016 - Code INSEE;Adresse 2016 - L6 Code Postal;Adresse 2016 - L6 Libellé Acheminement;Adresse 2016 - Ligne 5 Commune déléguée;Adresse 2016 - Code INSEE associé à la L5;Adresse 2015 - Code INSEE;Adresse 2015 - L6 Code Postal;Adresse 2015 - Libellé Acheminement;Adresse 2015 - L5;Adresse 2015 - Code INSEE Associé à la L5
FÉVRIER 2016;04120;Val d'Oronaye;04120;Meyronnes;04120;04530;VAL D ORONAYE;MEYRONNES;;04120;04530;MEYRONNES;;
DÉCEMBRE 2016;01187;Haut Valromey;01187;Hotonnes;01187;01260;HAUT VALROMEY;HOTONNES;;01187;01260;HOTONNES;;
DÉCEMBRE 2016;01098;Chazey-Bons;01098;Chazey-Bons;01098;01300;CHAZEY BONS;;;01098;01300;CHAZEY BONS;;
DÉCEMBRE 2016;14011;Aurseulles;14011;Anctoville;14011;14240;AURSEULLES;FEUGUEROLLES SUR SEULLES;14267;14011;14240;ANCTOVILLE;FEUGUEROLLES SUR SEULLES;14267
FÉVRIER 2016;14061;Souleuvre en Bocage;14264;Ferrière-Harang (La);14061;14350;SOULEUVRE EN BOCAGE;LA FERRIERE HARANG;14264;14264;14350;LA FERRIERE HARANG;;
FÉVRIER 2016;12120;Laissac-Sévérac l'Eglise;12271;Sévérac-l'Église;12120;12310;LAISSAC SEVERAC L EGLISE;SEVERAC L EGLISE;12271;12271;12310;SEVERAC L EGLISE;;
FÉVRIER 2016;14061;Souleuvre en Bocage;14115;Bures-les-Monts;14061;14350;SOULEUVRE EN BOCAGE;BURES LES MONTS;14115;14115;14350;BURES LES MONTS;;
FÉVRIER 2016;14061;Souleuvre en Bocage;14317;Graverie (La);14061;14350;SOULEUVRE EN BOCAGE;LA GRAVERIE;14317;14317;14350;LA GRAVERIE;;
DÉCEMBRE 2016;14027;Monts d'Aunay (Les);14544;Roucamps;14027;14260;LES MONTS D AUNAY;ROUCAMPS;14544;14544;14260;ROUCAMPS;;
FÉVRIER 2016;12177;Palmas d'Aveyron;12087;Cruéjouls;12177;12340;PALMAS D AVEYRON;CRUEJOULS;12087;12087;12340;CRUEJOULS;;
FÉVRIER 2016;12270;Sévérac d'Aveyron;12126;Lavernhe;12270;12150;SEVERAC D AVEYRON;LAVERNHE;12126;12126;12150;LAVERNHE;;
DÉCEMBRE 2016;14005;Valambray;14268;Fierville-Bray;14005;14190;VALAMBRAY;FIERVILLE BRAY;14268;14268;14190;FIERVILLE BRAY;;
FÉVRIER 2016;14061;Souleuvre en Bocage;14255;Étouvy;14061;14350;SOULEUVRE EN BOCAGE;ETOUVY;14255;14255;14350;ETOUVY;;
FÉVRIER 2016;14371;Livarot-Pays-d'Auge;14029;Autels-Saint-Bazile (Les);14371;14140;LIVAROT PAYS D AUGE;LES AUTELS ST BAZILE;14029;14029;14140;LES AUTELS ST BAZILE;;
OCTOBRE 2017;14357;Terres de Druance;14597;Saint-Jean-le-Blanc;14357;14770;TERRES DE DRUANCE;ST JEAN LE BLANC;14597;14597;14770;ST JEAN LE BLANC;;
DÉCEMBRE 2016;14349;Laize-Clinchamps;14164;Clinchamps-sur-Orne;14349;14320;LAIZE CLINCHAMPS;CLINCHAMPS SUR ORNE;14164;14164;14320;CLINCHAMPS SUR ORNE;;
FÉVRIER 2016;14371;Livarot-Pays-d'Auge;14028;Auquainville;14371;14140;LIVAROT PAYS D AUGE;AUQUAINVILLE;14028;14028;14140;AUQUAINVILLE;;
DÉCEMBRE 2016;14355;Ponts sur Seulles;14690;Tierceville;14355;14480;PONTS SUR SEULLES;TIERCEVILLE;14690;14690;14480;TIERCEVILLE;;
DÉCEMBRE 2016;14355;Ponts sur Seulles;14008;Amblie;14355;14480;PONTS SUR SEULLES;AMBLIE;14008;14008;14480;AMBLIE;;
DÉCEMBRE 2016;14355;Ponts sur Seulles;14355;Lantheuil;14355;14480;PONTS SUR SEULLES;LANTHEUIL;;14355;14480;LANTHEUIL;;
FÉVRIER 2016;14061;Souleuvre en Bocage;14573;Saint-Denis-Maisoncelles;14061;14350;SOULEUVRE EN BOCAGE;ST DENIS MAISONCELLES;14573;14573;14350;ST DENIS MAISONCELLES;;
DÉCEMBRE 2016;14347;Dialan sur Chaîne;14413;Le Mesnil-Auzouf;14347;14260;DIALAN SUR CHAINE;LE MESNIL AUZOUF;14413;14413;14260;LE MESNIL AUZOUF;;
DÉCEMBRE 2016;14342;Isigny-sur-Mer;14462;Neuilly-la-Forêt;14342;14230;ISIGNY SUR MER;NEUILLY LA FORET;14462;14462;14230;NEUILLY LA FORET;;
FÉVRIER 2016;14061;Souleuvre en Bocage;14532;Reculey (Le);14061;14350;SOULEUVRE EN BOCAGE;LE RECULEY;14532;14532;14350;LE RECULEY;;
FÉVRIER 2016;14174;Condé-en-Normandie;14523;Proussy;14174;14110;CONDE EN NORMANDIE;PROUSSY;14523;14523;14110;PROUSSY;;
DÉCEMBRE 2016;14342;Isigny-sur-Mer;14142;Castilly;14342;14330;ISIGNY SUR MER;CASTILLY;14142;14142;14330;CASTILLY;;
DÉCEMBRE 2016;14098;Thue et Mue;14098;Bretteville-l'Orgueilleuse;14098;14740;THUE ET MUE;BRETTEVILLE L ORGUEILLEUSE;;14098;14740;BRETTEVILLE L ORGUEILLEUSE;;
DÉCEMBRE 2016;14143;Caumont-sur-Aure;14143;Caumont-l'Éventé;14143;14240;CAUMONT SUR AURE;CAUMONT L EVENTE;;14143;14240;CAUMONT L EVENTE;;
DÉCEMBRE 2016;14200;Creully sur Seulles;14200;Creully;14200;14480;CREULLY SUR SEULLES;CREULLY;;14200;14480;CREULLY;;
DÉCEMBRE 2016;14342;Isigny-sur-Mer;14342;Isigny-sur-Mer;14342;14230;ISIGNY SUR MER;;;14342;14230;ISIGNY SUR MER;;
DÉCEMBRE 2016;14431;Mézidon Vallée d'Auge;14422;Le Mesnil-Mauger;14431;14270;MEZIDON VALLEE D AUGE;STE MARIE AUX ANGLAIS;14617;14422;14270;LE MESNIL MAUGER;STE MARIE AUX ANGLAIS;14617
FÉVRIER 2016;61081;Chailloué;61253;Marmouillé;;;CHAILLOUE;MARMOUILLE;;;;MARMOUILLE;;
FÉVRIER 2016;61081;Chailloué;61081;Chailloué;;;CHAILLOUE;;;;;CHAILLOUE;;
DÉCEMBRE 2016;69228;Chabanière;69228;Saint-Maurice-sur-Dargoire;;;CHABANIERE;ROUSSILLIERE;;;;ST MAURICE SUR DARGOIRE;ROUSSILLIERE;
DÉCEMBRE 2016;69159;Porte des Pierres Dorées;69114;Liergues;;;PORTE DES PIERRES DOREES;LA COMBE;;;;LIERGUES;LA COMBE;
FÉVRIER 2016;67495;Truchtersheim;67495;Truchtersheim;;;TRUCHTERSHEIM;BEHLENHEIM;;;;TRUCHTERSHEIM;BEHLENHEIM;
FÉVRIER 2016;67539;Wingersheim les quatre Bans;67207;Hohatzenheim;;;WINGERSHEIM LES QUATRE BANS;HOHATZENHEIM;;;;HOHATZENHEIM;;
DÉCEMBRE 2016;69024;Val d'Oingt;69222;Saint-Laurent-d’Oingt;;;VAL D OINGT;ST LAURENT D OINGT;;;;ST LAURENT D OINGT;;
DÉCEMBRE 2016;69159;Porte des Pierres Dorées;69114;Liergues;;;PORTE DES PIERRES DOREES;LIERGUES;;;;LIERGUES;;
FÉVRIER 2016;68320;Spechbach;68320;Spechbach-le-Haut;;;SPECHBACH;SPECHBACH LE HAUT;;;;SPECHBACH LE HAUT;;
FÉVRIER 2016;71204;Fragnes-La Loyère;71265;Loyère (La);;;FRAGNES LA LOYERE;LA LOYERE;;;;LA LOYERE;;
OCTOBRE 2018;69179;Beauvallon;69048;Chassagny;;;BEAUVALLON;CHASSAGNY;;;;CHASSAGNY;;
FÉVRIER 2016;69066;Cours;69247;Thel;;;COURS;THEL;;;;THEL;;
FÉVRIER 2016;73006;Aime-la-Plagne;73006;Aime;;;AIME LA PLAGNE;TESSENS;;;;AIME;TESSENS;
DÉCEMBRE 2016;73010;Entrelacs;73238;Saint-Germain-la-Chambotte;;;ENTRELACS;ST GERMAIN LA CHAMBOTTE;;;;ST GERMAIN LA CHAMBOTTE;;
DÉCEMBRE 2016;73150;Plagne Tarentaise (La);73093;Côte-d'Aime (La);;;LA PLAGNE TARENTAISE;LA COTE D AIME;;;;LA COTE D AIME;;
OCTOBRE 2017;72262;Loir en Vallée;72063;La Chapelle-Gaugain;;;LOIR EN VALLEE;LA CHAPELLE GAUGAIN;;;;LA CHAPELLE GAUGAIN;;
OCTOBRE 2017;72262;Loir en Vallée;72240;Poncé-sur-le-Loir;;;LOIR EN VALLEE;PONCE SUR LE LOIR;;;;PONCE SUR LE LOIR;;
OCTOBRE 2017;72025;Bazouges Cré sur Loir;72108;Cré-sur-Loir;;;BAZOUGES CRE SUR LOIR;CRE SUR LOIR;;;;CRE SUR LOIR;;
OCTOBRE 2017;72308;Saint-Paterne - Le Chevain;72082;Le Chevain;;;ST PARTERNE LE CHEVAIN;LE CHEVAIN;;;;LE CHEVAIN;;
DÉCEMBRE 2016;71279;Rousset-Marizy (Le);71375;Rousset (Le);;;LE ROUSSET MARIZY;LE ROUSSET;;;;LE ROUSSET;;
OCTOBRE 2017;72262;Loir en Vallée;72159;Lavenay;;;LOIR EN VALLEE;LAVENAY;;;;LAVENAY;;
DÉCEMBRE 2016;73010;Entrelacs;73239;Saint-Girod;;;ENTRELACS;ST GIROD;;;;ST GIROD;;
DÉCEMBRE 2016;73257;Belleville (Les);73257;Saint-Martin-de-Belleville;;;LES BELLEVILLE;VAL THORENS;;;;ST MARTIN DE BELLEVILLE;VAL THORENS;
DÉCEMBRE 2016;73150;Plagne Tarentaise (La);73150;Mâcot-la-Plagne;;;LA PLAGNE TARENTAISE;LA PLAGNE;;;;MACOT LA PLAGNE;LA PLAGNE;
FÉVRIER 2016;73284;Salins-Fontaine;73284;Salins-les-Thermes;;;SALINS FONTAINE;SALINS LES THERMES;;;;SALINS LES THERMES;;
OCTOBRE 2017;73235;Saint-François-Longchamp;73163;Montaimont;;;ST FRANCOIS LONGCHAMP;MONTAIMONT;;;;MONTAIMONT;;
FÉVRIER 2016;74275;Talloires-Montmin;74275;Talloires;;;TALLOIRES MONTMIN;TALLOIRES;;;;TALLOIRES;;
FÉVRIER 2016;74275;Talloires-Montmin;74187;Montmin;;;TALLOIRES MONTMIN;MONTMIN;;;;MONTMIN;;
DÉCEMBRE 2016;74167;Val de Chaise;74167;Marlens;;;VAL DE CHAISE;MARLENS;;;;MARLENS;;
DÉCEMBRE 2016;73290;Val-Cenis;73056;Bramans;;;VAL CENIS;BRAMANS;;;;BRAMANS;;
DÉCEMBRE 2016;74010;Annecy;74182;Meythet;;;ANNECY;MEYTHET;;;;MEYTHET;;
DÉCEMBRE 2016;74010;Annecy;74010;Annecy;;;ANNECY;;;;;ANNECY;;
