ID_SITE;NB_CLI_AB_NA;MNT_PTF_AB_NA;COD_DGR;LIB_DGR;COD_DR;LIB_DR
exp-lorient;544;542908;1;D.G.R./OUEST;12;D.R./NANTES;
exp-montbard;168;104642;3;D.G.R./EST;31;D.R./DIJON;
exp-morlaix;548;523558;1;D.G.R./OUEST;14;D.R./RENNES;
exp-cherbourg;184;115568;2;D.G.R./NORD;25;D.R./ROUEN;
exp-saint-georges-des-groseillers;121;178252;2;D.G.R./NORD;25;D.R./ROUEN;
exp-vire;119;178653;2;D.G.R./NORD;25;D.R./ROUEN;
exp-nontron;137;176306;6;D.G.R./SUD OUEST;62;D.R./BORDEAUX;
exp-saint-pierre-d-oleron;120;161409;1;D.G.R./OUEST;13;D.R./POITIERS;
exp-le-mans;476;712564;1;D.G.R./OUEST;11;D.R./ANGERS;
exp-les-abrets;184;144887;4;D.G.R./CENTRE EST;45;D.R./VIENNE;
exp-chateaudun;208;419060;2;D.G.R./NORD;23;D.R./BLOIS;
exp-hendaye;291;196420;6;D.G.R./SUD OUEST;67;D.R./PAU;
exp-auxonne;160;127762;3;D.G.R./EST;31;D.R./DIJON;
exp-avallon;352;485130;3;D.G.R./EST;34;D.R./AUXERRE;
exp-lons-le-saunier;146;145495;3;D.G.R./EST;31;D.R./DIJON;
exp-vernon;88;161396;2;D.G.R./NORD;25;D.R./ROUEN;
exp-lege-cap-ferret;149;218431;6;D.G.R./SUD OUEST;62;D.R./BORDEAUX;
exp-epinal;238;213716;3;D.G.R./EST;32;D.R./NANCY;
exp-montereau-fault-yonne;87;109648;2;D.G.R./NORD;26;D.R./PARIS;
exp-noyelles-sous-lens;60;53635;8;D.G.R./NORD EUROPE;81;D.R./LILLE;
exp-etaples;134;122546;8;D.G.R./NORD EUROPE;81;D.R./LILLE;
exp-dieppe;103;161523;2;D.G.R./NORD;25;D.R./ROUEN;
exp-saint-laurent-du-var;708;1050215;5;D.G.R./SUD EST;51;D.R./NICE;
exp-bourg-en-bresse;391;461461;4;D.G.R./CENTRE EST;44;D.R./LYON;
exp-hauteville-lompnes;144;133398;4;D.G.R./CENTRE EST;44;D.R./LYON;
exp-miribel;237;235628;4;D.G.R./CENTRE EST;44;D.R./LYON;
exp-chinon;287;297224;1;D.G.R./OUEST;11;D.R./ANGERS;
exp-pontcharra;126;208088;4;D.G.R./CENTRE EST;43;D.R./ANNECY;
exp-boves;474;1012872;2;D.G.R./NORD;21;D.R./AMIENS;
exp-douai;344;305905;8;D.G.R./NORD EUROPE;81;D.R./LILLE;
exp-loudun;267;140078;1;D.G.R./OUEST;13;D.R./POITIERS;
exp-mantes-la-ville;168;378773;2;D.G.R./NORD;26;D.R./PARIS;
exp-toucy;350;397659;3;D.G.R./EST;34;D.R./AUXERRE;
exp-bressuire;329;434999;1;D.G.R./OUEST;13;D.R./POITIERS;
exp-aix-en-provence;504;634070;5;D.G.R./SUD EST;53;D.R./MARSEILLE;
exp-entraigues-sur-la-sorgues;589;1033573;5;D.G.R./SUD EST;55;D.R./ARLES;
exp-cesson-sevigne;1124;1237063;1;D.G.R./OUEST;14;D.R./RENNES;
exp-joigny;186;162359;3;D.G.R./EST;34;D.R./AUXERRE;
exp-frejus;143;201956;5;D.G.R./SUD EST;51;D.R./NICE;
exp-apt;103;115798;5;D.G.R./SUD EST;55;D.R./ARLES;
exp-foix;145;178783;6;D.G.R./SUD OUEST;64;D.R./TOULOUSE;
exp-carbonne;138;262215;6;D.G.R./SUD OUEST;64;D.R./TOULOUSE;
exp-pont-a-mousson;227;234048;3;D.G.R./EST;32;D.R./NANCY;
exp-yutz;279;174550;3;D.G.R./EST;32;D.R./NANCY;
exp-granville;229;141369;2;D.G.R./NORD;25;D.R./ROUEN;
exp-messac;365;345688;1;D.G.R./OUEST;14;D.R./RENNES;
exp-fumel;263;207542;6;D.G.R./SUD OUEST;62;D.R./BORDEAUX;
exp-saint-malo;189;105856;1;D.G.R./OUEST;14;D.R./RENNES;
exp-mauriac;47;60294;4;D.G.R./CENTRE EST;42;D.R./CLERMONT FERRAND;
exp-rochefort-sur-mer;191;169090;1;D.G.R./OUEST;13;D.R./POITIERS;
exp-mamers;234;186629;1;D.G.R./OUEST;11;D.R./ANGERS;
exp-gray;159;247473;3;D.G.R./EST;31;D.R./DIJON;
exp-oberhausbergen;359;388445;3;D.G.R./EST;32;D.R./NANCY;
exp-dinan;261;339274;1;D.G.R./OUEST;14;D.R./RENNES;
exp-gourin;97;123203;1;D.G.R./OUEST;12;D.R./NANTES;
exp-saint-pol-sur-ternoise;153;231383;8;D.G.R./NORD EUROPE;81;D.R./LILLE;
exp-beauvais;117;203561;2;D.G.R./NORD;21;D.R./AMIENS;
exp-saint-pierre-montlimart;1093;769428;1;D.G.R./OUEST;11;D.R./ANGERS;
exp-biarritz;154;154103;6;D.G.R./SUD OUEST;67;D.R./PAU;
exp-emerainville;155;122952;2;D.G.R./NORD;26;D.R./PARIS;
exp-loches;192;294810;1;D.G.R./OUEST;11;D.R./ANGERS;
exp-corbigny;133;194024;3;D.G.R./EST;34;D.R./AUXERRE;
exp-saint-martin-les-boulogne;156;215966;8;D.G.R./NORD EUROPE;81;D.R./LILLE;
exp-saint-avertin;1234;1692163;1;D.G.R./OUEST;11;D.R./ANGERS;
exp-morzine;150;155958;4;D.G.R./CENTRE EST;43;D.R./ANNECY;
